CODIGO,DESCRIPCION,MEDIDA,UNIDAD,TAG
91868,CORREA ;CORREA TRANSMISION 5VX800,5VX800,CU,310PP151
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,310PP152
354886,CORREA ;CORREA TRANSMISION V,5vx950,JG,
68353,CORREA ;CORREA TRANSMISION V,5vx950,CU,
765059,CORREA ;CORREA TRANSMISION V,5VX560,CU,
355297,CORREA ;CORREA TRANSMISION V,5VX560,JG,
93245,CORREA ;CORREA TRANSMISION 5VX750,5VX750,CU,310PP153
89607,CORREA TRANSMISION 5VX710,5VX710,CU,310PP161
93245,CORREA TRANSMISIÓN 5VX750,5VX750,CU,310PP162
93245,CORREA ;CORREA TRANSMISION 5VX750,5VX750,CU,310PP164
331744,CORREA ;CORREA TRANSMISION EN V (5 X JG),8VX1060,JG,311PP1026
331744,CORREA ;CORREA TRANSMISION EN V (5 X JG),8VX1060,JG,311PP1027
331744,CORREA ;CORREA TRANSMISION EN V (5 X JG),8VX1060,JG,311PP1028
331744,"CORREA TRANSMISIVON ""V"" (BBA 8X8 1026-1027-1028-1029)",8VX1060,JG,311PP1029
89607,CORREA ;CORREA TRANSMISION V,5VX710,CU,311PP3303
89607,CORREA ;CORREA TRANSMISION 5VX710,5VX710,CU,311PP3304
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,312PP1501
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,312PP1502
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,312PP1504
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,312PP1505
93252,CORREA ;CORREA TRANSMISION V,5VX670,CU,320PP275
355271,CORREA ;CORREAS TRANSMISION V,3VX400,JG,700PP1527
355271,CORREA ;CORREAS TRANSMISION V,3VX400,JG,700PP1528
343848,CORREA ;CORREAS TRANSMISION V BLOQ.PROCE,5VX2000,CU,710FT1511
343673,CORREA ;CORREAS TRANSMISION MECANISMO CE,5VX2000,JG,710FT1512
343848,CORREA ;CORREAS TRANSMISION V BLOQ.PROCE,5VX2000,CU,710FT1515
343673,CORREA ;CORREAS TRANSMISION MECANISMO CE,5VX2000,JG,710FT1516
89607,CORREA; CORREA TRANSMISION V,5VX710,CU,710PP1506
89607,CORREA; CORREA TRANSMISION V,5VX710,CU,710PP1512
89607,CORREA ;CORREA TRANSMISION V,5VX710,CU,710PP1513
89607,CORREA ;CORREA TRANSMISION V,5VX710,CU,710PP1514
89607,CORREA ;CORREA TRANSMISION V,5VX710,CU,710PP1515
89607,CORREA ;CORREA TRANSMISION V,5VX710,CU,710PP1518
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,710PP1519
89607,CORREA ;CORREA TRANSMISION V,5VX710,CU,710PP1523
355271,CORREA ;CORREAS TRANSMISION 3VX400,3VX400,JG,710PP1528
355271,CORREA ;CORREAS TRANSMISION V,3VX400,JG,710PP1529
355271,CORREA ;CORREAS TRANSMISION V,3VX400,JG,710PP1530
355123,CORREA ;CORREAS TRANSMISION V,8V-1800,JG,710PP1535
355123,CORREA TRASMICION,8V-1800,JG,710PP1536
355289,CORREA ;CORREAS TRANSMISION V,3VX500,JG,710PP1619
105171,CORREA TRANSMISION V,3VX600,JG,710PP1622
89607,CORREA ;CORREA TRANSMISION 5VX710,5VX710,CU,740DC1596-02
355289,CORREA ;CORREAS TRANSMISION V,3VX500,JG,740DR1501-04
355271,CORREA; CORREAS TRANSMISION V,3VX400,JG,740FL1501
155010,CORREA ;CORREA TRANSMISION V,5V-1600,JG,740FL1501-02
155010,CORREA TRANSMISION,5V-1600,JG,740FL1501-03
355271,CORREA ;CORREAS TRANSMISION V,3VX400,JG,740PP1527
355271,CORREA; CORREAS TRANSMISION V,3VX400,JG,740PP1528
355271,CORREA ;CORREAS TRANSMISION 3VX400,3VX400,JG,740PP1529
355271,CORREA; CORREAS TRANSMISION V,3VX400,JG,740PP1529
355271,CORREA BBA ALIMENTACION FILTRO MOLI  (JUEGO DE 3 C/U) 740PP1527-1530,3VX400,JG,740PP1530
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,740PP1635
89607,CORREA; CORREA TRANSMISION V,5VX710,CU,
93245,CORREA ;CORREA TRANSMISION V,5VX750,CU,
91868,CORREA ;CORREA TRANSMISION 5VX800,5VX800,CU,
355271,CORREA ;CORREAS TRANSMISION V,3VX400,JG,
