HOJA,CODIGO,DESCRIPCION
MATRIZ REPUESTOS LUBRICACION,55442,FILTRO DE VENTILACION
MATRIZ REPUESTOS LUBRICACION,16584,FILTRO DESECHABLE  FS06C
MATRIZ REPUESTOS LUBRICACION,300798,MANOMETRO PRESION 0-400 BAR
MATRIZ REPUESTOS LUBRICACION,300780,MANOMETRO PRESION 0-60 BAR
MATRIZ REPUESTOS LUBRICACION,744049,MINI LUBER MODEL 125CC
MATRIZ REPUESTOS LUBRICACION,758539,PORTAFILTRO
MATRIZ REPUESTOS LUBRICACION,395343,"HYDRAULCI HOSE, 1014-20 BLOQUEADO PROCESO OBSOLETO 2012"
MATRIZ REPUESTOS LUBRICACION,395350,"HYDRAULCI HOSE, 1014-20 BLOQUEADO PROCESO OBSOLETO 2012"
MATRIZ REPUESTOS LUBRICACION,395368,"HYDRAULCI HOSE, 720-08 BLOQUEADO PROCESO OBSOLETO 2012"
MATRIZ REPUESTOS LUBRICACION,395376,"HYDRAULCI HOSE, 720-08 BLOQUEADO PROCESO OBSOLETO 2012"
MATRIZ REPUESTOS LUBRICACION,395384,"HYDRAULCI HOSE, 720-08 BLOQUEADO PROCESO OBSOLETO 2012"
MATRIZ REPUESTOS LUBRICACION,128603,Código Ferreteria CS 000747913
MATRIZ REPUESTOS LUBRICACION,166801,LUBRICADOR AUTOMATICO 150 GRS
MATRIZ REPUESTOS LUBRICACION,657148,Mobil SHC 632
MATRIZ REPUESTOS LUBRICACION,73700,BOMBA ALTA PRESION
MATRIZ REPUESTOS LUBRICACION,537746,FILTRO RESPIRADERO SILICA GEL
Matriz Rep. Mec.,746231,CAÑERIA CON BRIDAS (CABEZAL FIJO)
Matriz Rep. Mec.,746218,CAÑERIA CON BRIDAS (CUELLO CISNE)
Matriz Rep. Mec.,746232,CAÑERIA CON BRIDAS (FLAUTA)
Matriz Rep. Mec.,123216,VALVULA RETENCION (NO REPARABLE J. T.)
Matriz Rep. Mec.,88948,VALVULA CHECK
Matriz Rep. Mec.,123224,"JUNTA EXPANSION 2"" ANSI 150 LBS"
Matriz Rep. Mec.,114330,VALVULA V7 / V10/070-120 DN50/PN V10
Matriz Rep. Mec.,746233,CAÑERIA CON BRIDAS(top blow)
Matriz Rep. Mec.,448068,VALVULA REGULADORA DE PRESION
Matriz Rep. Mec.,746234,CAÑERIA CON BRIDAS
Matriz Rep. Mec.,155762,VALVULA DN 50/PN10 (VV manual)
Matriz Rep. Mec.,746235,CAÑERIA BRIDAS
Matriz Rep. Mec.,123224,"JUNTA EXPANSION 2"" ANSI 150 LBS"
Matriz Rep. Mec.,746221,CAÑERIA CON BRIDAS
Matriz Rep. Mec.,155762,VALVULA DN 50/PN10 (VV manual)
Matriz Rep. Mec.,746222,CAÑERIA CON BRIDAS
Matriz Rep. Mec.,746225,CAÑERIA CON BRIDAS
Matriz Rep. Mec.,448068,VALVULA REGULADORA DE PRESION
Matriz Rep. Mec.,155903,"VALVULA DN50/PN16, RS-50/050-100  V6-V8"
Matriz Rep. Mec.,6965,"MANOMETRO; MANOMETRO 2-1/2""DIAL 0-200 PSI 1/4"" NPT"
Matriz Rep. Mec.,155937,CAÑERIA CON BRIDAS
Matriz Rep. Mec.,746224,"DUCTO AIRE (2"" cabezal movil)"
Matriz Rep. Mec.,155762,"´valvula mariposa 2"""
Matriz Rep. Mec.,155853,"ACOPLAMIENTO TUBO 2"""
Matriz Rep. Mec.,155861,"ACOPLAMIENTO DE CAÑERIA RACOR DN50 (punta milano 2"")"
Matriz Rep. Mec.,158147,"ABRAZADERA  SIN FIN 3"""
Matriz Rep. Mec.,158154,ABRAZADERA DE ALTA PRESION (HOSE CLAMP 2064.056065)
Matriz Rep. Mec.,88831,"MANGUERA (SOPLADO 2"")"
Matriz Rep. Mec.,746223,CAÑERIA CON BRIDAS(CODO)
Matriz Rep. Mec.,746219,CAÑERIA CÓNICO.
Matriz Rep. Mec.,123216,VALVULA RETENCION (NO REPARABLE J. T.)
Matriz Rep. Mec.,559385,"DUCTO BRIDAS 6"""
Matriz Rep. Mec.,746220,CAÑERIA CON BRIDAS (carrete corto)
Matriz Rep. Mec.,325316,"FORRO DEGASTE FILTRO 6"""
Matriz Rep. Mec.,177899,"CABLE; CABLE ACERO PLASTIFICADO 3/16"" (mts)"
Matriz Rep. Mec.,271460,EJE LADO AUXILIAR COMPUERTA FILTRO CORTO
Matriz Rep. Mec.,648717,EJE HEXAGONAL LADO ACCIONAMIENTO
Matriz Rep. Mec.,287151,SOPORTE RODAMIENTO
Matriz Rep. Mec.,274605,RODAMIENTO BOLAS
Matriz Rep. Mec.,287169,MANGUITO FIJACION - CASQUILLO RODAMIENTO COMPUERTA FILTRO
Matriz Rep. Mec.,274613,ANILLO GUIA  FRB 125/200
Matriz Rep. Mec.,274621,CASQUILLO ETP-100/125 - MANGUITO COMPUERTA FILTRO
Matriz Rep. Mec.,271478,PALANCA MOVIMIENTO COMPUERTA FILTRO
Matriz Rep. Mec.,395137,SHAFT PASADOR COMPUERTA ITEM 09 PLANO SA249981
Matriz Rep. Mec.,73684,CILINDRO HIDRAULICO COMPUERTAS FILTROS
Matriz Rep. Mec.,271411,SOPORTE EJE INFERIOR CILINDRO HIDRAULICO
Matriz Rep. Mec.,274597,SOPORTE RODAMIENTO
Matriz Rep. Mec.,306035,ROTULA ACERO SKF PARA CILINDRO COMPUERTA
Matriz Rep. Mec.,271452,TAPA EJE COMPUERTA FILTROS
Matriz Rep. Mec.,395129,SHAFT PASADOR COMPUERTA ITEM 08 PLANO SA249981
Matriz Rep. Mec.,274639,ANILLO  V 100S
Matriz Rep. Mec.,140707,BURLETE; BURLETE SELLO LATERAL M1
Matriz Rep. Mec.,140715,BURLETE; BURLETE SELLO LATERAL M2
Matriz Rep. Mec.,325316,"FORRO DEGASTE ALIMENTACION FILTRO 6"""
Matriz Rep. Mec.,176123,"JUNTA EXPANSION ERFLEX 6"" (ANCHA)"
Matriz Rep. Mec.,746217,CAÑERIA CON BRIDAS (CARRETILLA)
Matriz Rep. Mec.,746197,VALVULA CERAMICA ALIMENTACION FILTROS (V1 - V4)
Matriz Rep. Mec.,746510,VALVULA CERAMICA ALIMENTACION FILTROS (V1 - V4) reparada
Matriz Rep. Mec.,746199,"CUERPO VÁLVULA BOLA 6"""
Matriz Rep. Mec.,527432,"VALVULA PINCH DE 6"" REPARADA"
Matriz Rep. Mec.,88864,"VALVULA PINCH DE 6"" NUEVA"
Matriz Rep. Mec.,337113,"VALVULA CUCHILLO  KGD10"" (NUEVA)"
Matriz Rep. Mec.,439661,"VALVULA CUCHILLO 10"" (REPARADA)"
Matriz Rep. Mec.,339911,MANGA GOMA NATURA Kgd10 (ELASTOMERO)
Matriz Rep. Mec.,746226,DUCTO ALIMENTACION FL1-2-3.
Matriz Rep. Mec.,474973,DUCTO ALIMENTACION FL004
Matriz Rep. Mec.,474981,DUCTO ALIMENTACION Fl005
Matriz Rep. Mec.,746228,CAÑERIA DE SALIDA DE FILTRADO
Matriz Rep. Mec.,746227,CAÑERIA DE SALIDA DE FILTRADO
Matriz Rep. Mec.,746229,CAÑERIA DE SALIDA DE FILTRADO
Matriz Rep. Mec.,746230,CAÑERIA DE SALIDA DE FILTRADO
Matriz Rep. Mec.,746240,CAÑERIA DE SALIDA DE FILTRADO
Matriz Rep. Mec.,746241,CAÑERIA DE SALIDA DE FILTRADO
Matriz Rep. Mec.,746242,CAÑERIA DE SALIDA DE FILTRADO
Matriz Rep. Mec.,155671,MANGUERA GOMA 1450 mm
Matriz Rep. Mec.,155663,"ACOPLAMIENTO MANGUERA TRELLEX 11190   (VULCOLEX 6"")"
