HOJA,CODIGO,DESCRIPCION
"VARIOS,126979,ABRAZADERA ACERO 2"""
VARIOS,551317,AMARRACABLES BLANCAS LARGO 100MM
VARIOS,41707,AMARRACABLES BLANCAS LARGO 150MM
VARIOS,551325,AMARRACABLES BLANCAS LARGO 200MM
VARIOS,551366,AMARRACABLES BLANCAS LARGO 550MM
VARIOS,551374,AMARRACABLES NEGRO LARGO 760MM
VARIOS,596833,BALDE PLASTICO 20 LTS
VARIOS,596833,BALDE PLASTICO 20 LTS
VARIOS,596833,BALDE PLASTICO 20 LTS
VARIOS,596833,BALDE PLASTICO 20 LTS
VARIOS,596833,BALDE PLASTICO 20 LTS
"VARIOS,551689,BROCHA PLANA 1"""
VARIOS,551705,BROCHA PLANA 2 1/2
"VARIOS,36798,BROCHA PLANA 2"""
"VARIOS,36814,BROCHA PLANA 3"""
"VARIOS,551713,BROCHA PLANA 4"""
VARIOS,551846,CANDADO BLOQUEO AZUL
VARIOS,597484,CANDADO BLOQUEO ROJO
VARIOS,597492,CANDADO BLOQUEO VERDE
VARIOS,341099,CANDADO CHICO P30
VARIOS,341107,CANDADO CILINDRO 40MM
VARIOS,341115,CANDADO GRANDE 60
VARIOS,341099,CANDADO ODIS 20MM
VARIOS,551929,CINTA AISLANTE AMARILLA
VARIOS,747898,CINTA AISLANTE AZUL
VARIOS,597260,CINTA AISLANTE BLANCA
VARIOS,551937,CINTA AISLANTE NEGRA SUPER 33+
VARIOS,597278,CINTA AISLANTE ROJA
VARIOS,597245,CINTA AISLANTE VERDE
VARIOS,460352,CINTA MULTIUSO GRIS 3M
VARIOS,36848,CINTA TEFLON 1 / 2
"VARIOS,552067,CODO GALVANIZADO 1"""
VARIOS,37895,CODO GALVANIZADO 1/2
VARIOS,552626,CODO GALVANIZADO 3/4
VARIOS,52209,CODO GALVANIZADO 90° 2 SOLDABLE
VARIOS,38109,COPLA REDUCCION GALVANIZADA 1.1/2 X 2
VARIOS,552588,COPLA REDUCCION GALVANIZADO 1.1/2 X 1
VARIOS,38109,COPLA REDUCCION GALVANIZADO 1.1/2X2
VARIOS,55020,COPLA REDUCCION GALVANIZADO 1/2X3/8
VARIOS,552737,DISCO CORTE 4 1/2
VARIOS,37275,DISCO CORTE 7”
"VARIOS,552745,DISCO DE DESBASTE 7"" DIAMETRO EXTERIOR"
VARIOS,552760,DISCO DESBASTE 4 1/2
VARIOS,45187,ESCOBILLA ACERO MANGO SOLDADOR
"VARIOS,522976,ESPATULA 1-1/2"" 30MM"
VARIOS,552976,ESPATULA 50MM
VARIOS,337154,ESPATULA 80 MM
VARIOS,102087,FITTING CODO 90 INOX 1/2 OD X 1/2
VARIOS,101949,FITTING CODO MACHO 90° INOX 3/8
"VARIOS,580928,GRILLETE ACERO 1"" G209"
"VARIOS,580910,GRILLETE ACERO 3/4"" G209"
"VARIOS,37077,HEBILLA DE 3/8"" (CAJA X 100 CU)"
"VARIOS,596460,HUINCHA TEFLON 3/4"" X 12 MT PTFE"
VARIOS,580654,JUEGO ORING PULGADA
VARIOS,41255,LIJA AGUA GRANO 100
VARIOS,41285,LIJA AGUA GRANO 150
VARIOS,361410,LIJA AGUA GRANO 360
VARIOS,41269,LIJA AGUA GRANO 80
VARIOS,44362,LIJA METAL GRANO 100
VARIOS,41228,LIJA METAL GRANO 120
VARIOS,41244,LIJA METAL GRANO 180
VARIOS,553727,LIJA METAL GRANO 220
VARIOS,341594,LLAVE BOLA 1 / 2
VARIOS,341602,LLAVE BOLA 3 / 4
"VARIOS,758058,LLAVE DE BOLA 1"""
VARIOS,552935,NIPLE GALVANIZADO 1
VARIOS,554030,ORCA SEGURIDAD 60 CMS.
VARIOS,554048,ORCA SEGURIDAD 80 CM
VARIOS,747911,PINZA LOCKOUT 1
VARIOS,747894,RODILLO LANA CHIPORRO 18CM TIGRE
VARIOS,596122,SELLADOR HIDRAULICO CAVE II
VARIOS,596122,SELLADOR HIDRAULICO CAVE II
VARIOS,596122,SELLADOR HIDRAULICO CAVE II
VARIOS,596122,SELLADOR HIDRAULICO CAVE II
VARIOS,37978,TAPA GORRO GALVANIZADO 1
VARIOS,37986,TAPA GORRO GALVANIZADO 1.1/2
VARIOS,37994,TAPA GORRO GALVANIZADO 2
VARIOS,55656,TAPA GORRO GALVANIZADO 3 / 4
VARIOS,38166,TEE GALVANIZADO 2
VARIOS,597609,TOALLA HUMADA DUPLEX
"VARIOS,757733,TUERCA STORZ HI 2"""
VARIOS,556274,UNION AMERICANA GALVANIZADO 1
VARIOS,747860,UNION AMERICANA GALVANIZADO 1.1/2
VARIOS,556266,UNION AMERICANA GALVANIZADO 1 / 2
VARIOS,51599,UNION AMERICANA GALVANIZADO 2
VARIOS,556282,UNION AMERICANA GALVANIZADO 3/4
"VARIOS,757735,VALVULA BOLA INOX 2"""
VARIOS,556365,VIDRIO MASCARA SOLDAR BLANCO
VARIOS,45112,VIDRIO MASCARA SOLDAR GRADO 10
VARIOS,45120,VIDRIO MASCARA SOLDAR GRADO 11
VARIOS,556373,VIDRIO MASCARA SOLDAR GRADO 12
"VARIOS,37044,ZUNCHO 3/8"" (CAJA X 30,5MT)"
PERNERIA,758152,ESPARRAGO A-193 B7 1 X 1000
PERNERIA,760925,ESPARRAGO A-193 B7 1/2 X 1000
PERNERIA,758151,ESPARRAGO A-193 B7 3/4 X 1000
PERNERIA,758149,ESPARRAGO A-193 B7 5/8 X 1000
PERNERIA,758150,ESPARRAGO A-193 B7 7/8 X 1000
PERNERIA,39727,GOLILLA PLANA CORRIENTE 1/2
PERNERIA,39776,GOLILLA PLANA CORRIENTE 1
PERNERIA,553347,GOLILLA PLANA CORRIENTE 1.1/4
PERNERIA,39685,GOLILLA PLANA CORRIENTE 1/4
PERNERIA,39750,GOLILLA PLANA CORRIENTE 3/4
PERNERIA,553412,GOLILLA PLANA CORRIENTE 3/8
PERNERIA,39743,GOLILLA PLANA CORRIENTE 5/8
PERNERIA,553172,GOLILLA PLANA CORRIENTE 7/8
PERNERIA,553396,GOLILLA PLANA CORRIENTE M16
PERNERIA,56770,GOLILLA PLANA CORRIENTE M20
PERNERIA,359505,GOLILLA PLANA CORRIENTE M24
PERNERIA,597450,GOLILLA PLANA F-416 5/8
PERNERIA,39776,GOLILLA PLANA F-436 1
PERNERIA,110759,GOLILLA PLANA F-436 1/2
PERNERIA,110775,GOLILLA PLANA F-436 3/4
PERNERIA,11684,GOLILLA PLANA F-436 3/8
PERNERIA,553180,GOLILLA PLANA F-436 7/8
PERNERIA,596239,GOLILLA PRESION 1
PERNERIA,553222,GOLILLA PRESION 1.1/4
PERNERIA,8433,GOLILLA PRESION 1/2
PERNERIA,551453,GOLILLA PRESION 1/4
PERNERIA,39644,GOLILLA PRESION 3/4
PERNERIA,344283,GOLILLA PRESION 3/8
PERNERIA,553248,GOLILLA PRESION 5/8
PERNERIA,553271,GOLILLA PRESION 7/8
PERNERIA,555045,PERNO HEXAGONAL G°8,8 M20 X 110
PERNERIA,58222,PERNO HEXAGONAL G°10.9 M20 X 100
PERNERIA,151134,PERNO HEXAGONAL G°10.9 M24 X 130
PERNERIA,359539,PERNO HEXAGONAL G°10.9 M24 X 180
PERNERIA,81202,PERNO HEXAGONAL G°10.9 M24 X 90
PERNERIA,554139,PERNO HEXAGONAL G°5 1 X 2
PERNERIA,108936,PERNO HEXAGONAL G°5 1 X 2.1/2
PERNERIA,554147,PERNO HEXAGONAL G°5 1 X 3
PERNERIA,108951,PERNO HEXAGONAL G°5 1 X 4
PERNERIA,8391,PERNO HEXAGONAL G°5 1 X 5
PERNERIA,554154,PERNO HEXAGONAL G°5 1 X 6
PERNERIA,554162,PERNO HEXAGONAL G°5 1 X 8
PERNERIA,554410,PERNO HEXAGONAL G°5 1.1/4 X 5
PERNERIA,109066,PERNO HEXAGONAL G°5 1.1/4 X 6
PERNERIA,554188,PERNO HEXAGONAL G°5 1/2 x 1.1/2
PERNERIA,554212,PERNO HEXAGONAL G°5 1/2 X 2-1/2
PERNERIA,554246,PERNO HEXAGONAL G°5 1/2 x 3
PERNERIA,12856,PERNO HEXAGONAL G°5 1/2 x 3.1/2
PERNERIA,554261,PERNO HEXAGONAL G°5 1/2 x 5
PERNERIA,554170,PERNO HEXAGONAL G°5 1/2X2
PERNERIA,39420,PERNO HEXAGONAL G°5 1/2x4
PERNERIA,12997,PERNO HEXAGONAL G°5 1/4 X 1
PERNERIA,554311,PERNO HEXAGONAL G°5 1/4 X 1.1/2
PERNERIA,554329,PERNO HEXAGONAL G°5 1/4 X 1.1/4
PERNERIA,554345,PERNO HEXAGONAL G°5 1/4 X 2
PERNERIA,554352,PERNO HEXAGONAL G°5 1/4 X 2.1/2
PERNERIA,554444,PERNO HEXAGONAL G°5 3/4 X 1.1/2
PERNERIA,596205,PERNO HEXAGONAL G°5 3/4 X 2
PERNERIA,596213,PERNO HEXAGONAL G°5 3/4 X 2.1/2
PERNERIA,554485,PERNO HEXAGONAL G°5 3/4 X 3
PERNERIA,596726,PERNO HEXAGONAL G°5 3/4 x 4
